Company Name: Karma Energy Ltd, Sector: Power Generation & Distribution, Industry: Power Generation And Supply,
Company Name: Kay Power & Paper Ltd, Sector: Paper, Industry: Paper,
Company Name: Assam Entrade Ltd, Sector: Finance, Industry: Finance & Investments,
Company Name: Identical Brains Studios Ltd, Sector: Entertainment, Industry: Entertainment / Electronic Media Software,
Company Name: My Money Securities Ltd, Sector: Stock/ Commodity Brokers, Industry: Finance & Investments,
Company Name: Anjani Synthetics Ltd, Sector: Textiles, Industry: Textiles - Processing,
Company Name: Betex India Ltd, Sector: Textiles, Industry: Textiles - Processing,
Company Name: Agro Phos India Ltd, Sector: Fertilizers, Industry: Fertilizers,
Company Name: Abha Power and Steel Ltd, Sector: Castings, Forgings & Fastners, Industry: Castings & Forgings,
Company Name: Magson Retail and Distribution Ltd, Sector: Retail, Industry: Trading,
Company Name: Crestchem Ltd, Sector: Chemicals, Industry: Chemicals,
Company Name: Balkrishna Paper Mills Ltd, Sector: Paper, Industry: Paper,
Company Name: Tridhya Tech Ltd, Sector: IT - Software, Industry: Computers - Software - Medium / Small,
Company Name: Archies Ltd, Sector: Retail, Industry: Trading,
Company Name: Tree House Education & Accessories Ltd, Sector: Education, Industry: Miscellaneous,
Company Name: Dhanalaxmi Roto Spinners Ltd, Sector: Trading, Industry: Trading,
Company Name: F Mec International Financial Services Ltd, Sector: Finance, Industry: Finance & Investments,
Company Name: Simran Farms Ltd, Sector: Miscellaneous, Industry: Miscellaneous,
Company Name: Ceeta Industries Ltd, Sector: FMCG, Industry: Food - Processing - Indian,
Company Name: VSF Projects Ltd, Sector: Infrastructure Developers & Operators, Industry: Construction,
Company Name: Simbhaoli Sugars Ltd, Sector: Sugar, Industry: Sugar,
Company Name: PCS Technology Ltd, Sector: IT - Software, Industry: Computers - Software - Medium / Small,
Company Name: Nam Securities Ltd, Sector: Stock/ Commodity Brokers, Industry: Finance & Investments,
Company Name: Aastamangalam Finance Ltd, Sector: Finance, Industry: Finance & Investments,
Company Name: Associated Ceramics Ltd, Sector: Refractories, Industry: Refractories / Intermediates,
Company Name: Ushanti Colour Chem Ltd, Sector: Chemicals, Industry: Dyes And Pigments,
Company Name: Supra Trends Ltd, Sector: Textiles, Industry: Textiles - Products,
Company Name: Malu Paper Mills Ltd, Sector: Paper, Industry: Paper,
Company Name: Sam Industries Ltd, Sector: Realty, Industry: Construction,
