BSE Symbol,NSE Symbol,Company Name          ,AUDITED,,,,,,,,,,LATEST QTR.,,,YEAR TO DATE,,,,,SHAREHOLDINGS,,,,MARKET RELATED DATA,,,,,Sector,*You will find NULL at many places. This for those companies that have announced their FY24 results and do not have YTD Sales or Net Profit. It is reflected in yearly numbers.
,,,Face,Month/,CEqt.,BkVal,Sales,NP,EPS,Div,D/E,RONW,LatQ,Sales,NP,Year/,Sales,Sales,NP,NP,Prom,. Pledged,Inst.,NoShold,Mkt.Cap.,Price,52 Week,Entprise,Trail.P/E,,
,,,Value,Year,Rs.Cr,Rs.,Rs.Cr.,Rs.Cr.,(Rs.),(Rs.),Ratio,(%),Year,Rs.Cr.,Rs.Cr,Month,Rs.Cr.,Growth,Rs.Cr.,Growth,(%),(%),(%),('000),Rs.Cr.,Rs.,H/L,Value,Ratio,,
,,,,,,,,,,,,,,,,,,,,,,,,,As on Date 6th Feb 2025,,,,,,
532921,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,2,2403,432.03,138.01,26710.56,8265.68,8.05,6,1.69,6.02,2412,7963.55,2467.04,2412N,5875.08,21.31,1757.02,57.52,65.89,0,28.14,216.01,247173.9,1163.95,1607.95/993.85,293571.92,105.65,Port,
533278,COALINDIA,Coal India Ltd.,10,2403,6162.73,45.59,142323.98,36942.3,25.58,25.5,0,92.66,2412,35779.78,8420.23,2412N,1120.74,8.99,13867.69,11.56,63.13,0,31.26,616.27,235909.23,379.65,544.70/361.30,233658.41,13.6,Mining & Minerals,
500228,JSWSTEEL,JSW Steel Ltd.,1,2403,305,325.09,175006,9145,26.36,7.3,0.79,11.66,2412,41378,713,2412N,95231,-4.62,3790,-46.12,44.85,6.31,36.69,244.55,232281.45,947.55,1063.35/762.00,290711.46,53.32,Steel & Iron Products,
543320,ZOMATO,Zomato Ltd.,1,2403,868,34.4,12114,351,1.58,0,0,6.59,2412,5405,59,2412N,6425,33.91,1385,42.05,0,0,67.82,965.04,223164.37,229.05,304.50/138.05,222944.35,113.14,e-Commerce,
500820,ASIANPAINT,Asian Paints Ltd.,1,2403,95.92,196.56,35494.73,5424.69,55.48,33.3,0,31.36,2412,8549.44,1078.61,2412N,22070.52,-5.56,2903.3,-29.4,52.63,4.85,27.67,95.92,218279.85,2263.35,3394.00/2208.90,218167.56,52.79,Paints,
500790,NESTLEIND,Nestle India Ltd.,1,2403,96.42,48.61,24393.89,3932.84,40.79,32.2,0.01,135.61,2412,4779.73,695.82,2412N,14697.68,2.81,2429.09,7.39,62.76,0,21.01,96.42,216843.76,2243.5,2777.00/2131.50,216733.66,64.32,Consumer Food,
500049,BEL,Bharat Electronics Ltd.,1,2403,730.98,25.6,20268.24,3943.11,5.5,2.2,0,27.1,2412,5770.69,1301.27,2412N,14538.3,24.89,3183.47,42.34,51.14,0,38.28,730.98,211142.97,279.85,340.35/171.70,202909.78,41.18,Defence,
500251,TRENT,Trent Ltd.,1,2403,35.55,143.39,12375.11,1353.89,40.39,3.2,0.11,38.15,2409,4156.67,329.29,2409H,8027.3,47.91,765.59,74.82,37.01,0,36.97,35.55,204453.28,5275,8345.85/2956.85,204747.51,132.07,Retailing,
500550,SIEMENS,Siemens Ltd.,2,2409,71.2,428.14,22239.7,2718.1,74.86,12,0,18.85,2409,6461.1,831.2,,,,,,75,5,15.55,35.61,198633.19,5632.55,8129.95/4121.85,189600.39,91.07,Electric Equipment,
500188,HINDZINC,Hindustan Zinc Ltd.,2,2403,845,24.35,28932,7759,18.43,13,0.58,55.28,2412,8614,2678,2412N,24928,16.57,7303,27.12,63.42,59.29,33.43,422.53,197491.41,443.6,807.00/285.00,210943.41,20.06,Metal - Non Ferrous,
540180,VBL,Varun Beverages Ltd.,2,2312,649.61,48.92,16321.06,2102.29,13.66,1.25,0.67,28.22,2409,4932.06,628.92,2409N,12334.57,14.35,2111.75,27.48,60.2,0.02,32.27,338.15,197344.93,568.1,1700.70/516.95,202357.58,40.64,Consumer Food,
533096,ADANIPOWER,Adani Power Ltd.,10,2403,3856.94,112.75,50351.25,20828.79,48.61,0,0.65,55.41,2412,13671.18,2940.07,2412N,32918.96,13.26,7403.81,-56.24,74.96,1.36,13.95,385.69,194910.41,503.6,896.75/430.85,215321.48,21.03,Power Generation/Distribution,
532868,DLF,DLF Ltd.,2,2403,495.06,112.53,6427,1630.4,5.05,5,0.11,4.32,2412,1528.71,440.4,2412N,2245.64,-3.75,30.06,-96.28,74.08,0,21.24,247.53,188977.67,764.2,967.00/689.90,191940.74,399.94,Construction - Real Estate,
543257,IRFC,Indian Railway Finance Corporation Ltd.,10,2403,13068.51,39.83,26645.36,6412.1,4.91,1.5,8.38,13.66,2412,6763.43,1630.66,2412N,20428.72,1.2,4820.14,2.32,86.36,0,2.25,1306.85,180214.69,136.3,229.05/116.70,343075.98,27.25,Finance Term Lending,
